LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES
XBB.1.5	Rekombinant	EK.1
XBB.1.5	Rekombinant	EK.2
XBB.1.5	Rekombinant	EK.2.1
XBB.1.5	Rekombinant	EK.3
XBB.1.5	Rekombinant	EK.4
XBB.1.5	Rekombinant	EL.1
XBB.1.5	Rekombinant	EM.1
XBB.1.5	Rekombinant	EU.1
XBB.1.5	Rekombinant	EU.1.1
XBB.1.5	Rekombinant	EU.1.1.1
XBB.1.5	Rekombinant	EU.1.1.2
XBB.1.5	Rekombinant	EU.1.1.3
XBB.1.5	Rekombinant	FD.1
XBB.1.5	Rekombinant	FD.1.1
XBB.1.5	Rekombinant	FD.2
XBB.1.5	Rekombinant	FD.2.1
XBB.1.5	Rekombinant	FD.3
XBB.1.5	Rekombinant	FD.4
XBB.1.5	Rekombinant	FD.4.1
XBB.1.5	Rekombinant	FD.5
XBB.1.5	Rekombinant	FD.5.1
XBB.1.5	Rekombinant	FG.1
XBB.1.5	Rekombinant	FG.2
XBB.1.5	Rekombinant	FG.3
XBB.1.5	Rekombinant	FH.1
XBB.1.5	Rekombinant	FT.1
XBB.1.5	Rekombinant	FT.2
XBB.1.5	Rekombinant	FT.3
XBB.1.5	Rekombinant	FT.3.1
XBB.1.5	Rekombinant	FT.3.1.1
XBB.1.5	Rekombinant	FT.4
XBB.1.5	Rekombinant	FZ.1
XBB.1.5	Rekombinant	FZ.1.1
XBB.1.5	Rekombinant	FZ.2
XBB.1.5	Rekombinant	GB.1
XBB.1.5	Rekombinant	GB.2
XBB.1.5	Rekombinant	GC.1
XBB.1.5	Rekombinant	GC.2
XBB.1.5	Rekombinant	GF.1
XBB.1.5	Rekombinant	GG.1
XBB.1.5	Rekombinant	GK.1
XBB.1.5	Rekombinant	GK.1.1
XBB.1.5	Rekombinant	GK.1.1.1
XBB.1.5	Rekombinant	GK.1.10
XBB.1.5	Rekombinant	GK.1.11
XBB.1.5	Rekombinant	GK.1.11.1
XBB.1.5	Rekombinant	GK.1.2
XBB.1.5	Rekombinant	GK.1.2.1
XBB.1.5	Rekombinant	GK.1.3
XBB.1.5	Rekombinant	GK.1.4
XBB.1.5	Rekombinant	GK.1.5
XBB.1.5	Rekombinant	GK.1.6
XBB.1.5	Rekombinant	GK.1.6.1
XBB.1.5	Rekombinant	GK.1.7
XBB.1.5	Rekombinant	GK.1.8
XBB.1.5	Rekombinant	GK.1.8.1
XBB.1.5	Rekombinant	GK.1.9
XBB.1.5	Rekombinant	GK.10
XBB.1.5	Rekombinant	GK.11
XBB.1.5	Rekombinant	GK.12
XBB.1.5	Rekombinant	GK.2
XBB.1.5	Rekombinant	GK.2.1
XBB.1.5	Rekombinant	GK.2.1.1
XBB.1.5	Rekombinant	GK.2.2
XBB.1.5	Rekombinant	GK.2.3
XBB.1.5	Rekombinant	GK.2.4
XBB.1.5	Rekombinant	GK.3
XBB.1.5	Rekombinant	GK.3.1
XBB.1.5	Rekombinant	GK.3.2
XBB.1.5	Rekombinant	GK.4
